*******************************************************************************
JPL/HORIZONS                    (1999 JV127)               2015-Jul-07 16:13:13
Rec #:501404 (+COV)   Soln.date: 2014-Jun-13_00:34:37        # obs: 44 (8 days)
 
FK5/J2000.0 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs): 
 
  EPOCH=  2451311.5 ! 1999-May-13.00 (CT)          Residual RMS= .46536        
   EC= .3590489592049093   QR= 10.71924044104905   TP= 2438850.7172727836      
   OM= 3.091301841755882   W=  .0985479028148368   IN= 25.51098180361467       
   A= 16.72396136177887    MA= 179.5728453458088   ADIST= 22.72868228250869    
   PER= 68.39382999999999  N= .01441104            ANGMOM= .065656995          
   DAN= 10.71924           DDN= 22.72866           L= 3.1802416                
   B= .042443              MOID= 9.71496964        TP= 1965-Mar-31.2172727836  
 
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 10.4                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
 
ASTEROID comments: 
1: soln ref.= JPL#3, OCC=9
2: source=ORB; JPLCOV;MPCREF=MPC35120
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Tue Jul  7 16:13:13 2015 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (1999 JV127)                    {source: JPL#3}
Center body name: Earth (399)                     {source: DE-0431LE-0431}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2000-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE-0431LE-0431}
Rel. light bend : Sun, EARTH                      {source: DE-0431LE-0431}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Small-body perts: Yes                             {source: SB431-BIG16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.150707.p150928                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2015-JUL-07. PREDICTS-> 2015-SEP-27
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial FK5/J2000.0 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2451311.5 ! 1999-May-13.00 (CT)          Residual RMS= .46536        
   EC= .3590489592049093   QR= 10.71924044104905   TP= 2438850.7172727836      
   OM= 3.091301841755882   W=  .0985479028148368   IN= 25.51098180361467       
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 10.4                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
***********************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),    ObsEcLon,   ObsEcLat,
***********************************************************************************************************
$$SOE
 1900-Jan-01 00:00, 2415020.500000000, , , 32.68611, 33.17201,  40.5268871, 18.7879961,
 1900-Jan-02 00:00, 2415021.500000000, , , 32.67349, 33.15161,  40.5088100, 18.7726675,
 1900-Jan-03 00:00, 2415022.500000000, , , 32.66253, 33.13151,  40.4922137, 18.7571315,
 1900-Jan-04 00:00, 2415023.500000000, , , 32.65325, 33.11173,  40.4771017, 18.7413983,
 1900-Jan-05 00:00, 2415024.500000000, , , 32.64564, 33.09228,  40.4634809, 18.7254782,
 1900-Jan-06 00:00, 2415025.500000000, , , 32.63970, 33.07318,  40.4513620, 18.7093813,
 1900-Jan-07 00:00, 2415026.500000000, , , 32.63545, 33.05443,  40.4407576, 18.6931177,
 1900-Jan-08 00:00, 2415027.500000000, , , 32.63287, 33.03604,  40.4316799, 18.6766974,
 1900-Jan-09 00:00, 2415028.500000000, , , 32.63197, 33.01803,  40.4241384, 18.6601304,
 1900-Jan-10 00:00, 2415029.500000000, , , 32.63273, 33.00041,  40.4181386, 18.6434262,
 1900-Jan-11 00:00, 2415030.500000000, , , 32.63517, 32.98317,  40.4136824, 18.6265943,
 1900-Jan-12 00:00, 2415031.500000000, , , 32.63928, 32.96634,  40.4107682, 18.6096441,
 1900-Jan-13 00:00, 2415032.500000000, , , 32.64505, 32.94993,  40.4093923, 18.5925845,
 1900-Jan-14 00:00, 2415033.500000000, , , 32.65248, 32.93393,  40.4095499, 18.5754247,
 1900-Jan-15 00:00, 2415034.500000000, , , 32.66156, 32.91836,  40.4112363, 18.5581734,
 1900-Jan-16 00:00, 2415035.500000000, , , 32.67230, 32.90323,  40.4144477, 18.5408393,
 1900-Jan-17 00:00, 2415036.500000000, , , 32.68469, 32.88854,  40.4191815, 18.5234309,
 1900-Jan-18 00:00, 2415037.500000000, , , 32.69872, 32.87431,  40.4254369, 18.5059567,
 1900-Jan-19 00:00, 2415038.500000000, , , 32.71439, 32.86053,  40.4332146, 18.4884250,
 1900-Jan-20 00:00, 2415039.500000000, , , 32.73169, 32.84722,  40.4425161, 18.4708442,
 1900-Jan-21 00:00, 2415040.500000000, , , 32.75062, 32.83438,  40.4533439, 18.4532225,
 1900-Jan-22 00:00, 2415041.500000000, , , 32.77118, 32.82202,  40.4657005, 18.4355679,
 1900-Jan-23 00:00, 2415042.500000000, , , 32.79336, 32.81015,  40.4795880, 18.4178887,
 1900-Jan-24 00:00, 2415043.500000000, , , 32.81715, 32.79877,  40.4950082, 18.4001929,
 1900-Jan-25 00:00, 2415044.500000000, , , 32.84255, 32.78789,  40.5119615, 18.3824884,
 1900-Jan-26 00:00, 2415045.500000000, , , 32.86955, 32.77751,  40.5304466, 18.3647833,
 1900-Jan-27 00:00, 2415046.500000000, , , 32.89815, 32.76765,  40.5504595, 18.3470854,
 1900-Jan-28 00:00, 2415047.500000000, , , 32.92833, 32.75830,  40.5719931, 18.3294028,
 1900-Jan-29 00:00, 2415048.500000000, , , 32.96010, 32.74948,  40.5950368, 18.3117433,
 1900-Jan-30 00:00, 2415049.500000000, , , 32.99344, 32.74118,  40.6195773, 18.2941151,
 1900-Jan-31 00:00, 2415050.500000000, , , 33.02834, 32.73342,  40.6456009, 18.2765261,
 1900-Feb-01 00:00, 2415051.500000000, , , 33.06480, 32.72619,  40.6730969, 18.2589844,
 1900-Feb-02 00:00, 2415052.500000000, , , 33.10279, 32.71950,  40.7020593, 18.2414980,
 1900-Feb-03 00:00, 2415053.500000000, , , 33.14232, 32.71336,  40.7324860, 18.2240747,
