*******************************************************************************
JPL/HORIZONS                    (1999 JV127)               2015-Jul-07 16:13:38
Rec #:501404 (+COV)   Soln.date: 2014-Jun-13_00:34:37        # obs: 44 (8 days)
 
FK5/J2000.0 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs): 
 
  EPOCH=  2451311.5 ! 1999-May-13.00 (CT)          Residual RMS= .46536        
   EC= .3590489592049093   QR= 10.71924044104905   TP= 2438850.7172727836      
   OM= 3.091301841755882   W=  .0985479028148368   IN= 25.51098180361467       
   A= 16.72396136177887    MA= 179.5728453458088   ADIST= 22.72868228250869    
   PER= 68.39382999999999  N= .01441104            ANGMOM= .065656995          
   DAN= 10.71924           DDN= 22.72866           L= 3.1802416                
   B= .042443              MOID= 9.71496964        TP= 1965-Mar-31.2172727836  
 
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 10.4                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
 
ASTEROID comments: 
1: soln ref.= JPL#3, OCC=9
2: source=ORB; JPLCOV;MPCREF=MPC35120
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Tue Jul  7 16:13:39 2015 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (1999 JV127)                    {source: JPL#3}
Center body name: Earth (399)                     {source: DE-0431LE-0431}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1800-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 1900-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE-0431LE-0431}
Rel. light bend : Sun, EARTH                      {source: DE-0431LE-0431}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Small-body perts: Yes                             {source: SB431-BIG16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.150707.p150928                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2015-JUL-07. PREDICTS-> 2015-SEP-27
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial FK5/J2000.0 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2451311.5 ! 1999-May-13.00 (CT)          Residual RMS= .46536        
   EC= .3590489592049093   QR= 10.71924044104905   TP= 2438850.7172727836      
   OM= 3.091301841755882   W=  .0985479028148368   IN= 25.51098180361467       
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 10.4                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
***********************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),    ObsEcLon,   ObsEcLat,
***********************************************************************************************************
$$SOE
 1800-Jan-01 00:00, 2378496.500000000, , ,199.72053,-17.73277, 202.0985799, -8.7058552,
 1800-Jan-02 00:00, 2378497.500000000, , ,199.73201,-17.74779, 202.1146990, -8.7156037,
 1800-Jan-03 00:00, 2378498.500000000, , ,199.74274,-17.76255, 202.1300582, -8.7253884,
 1800-Jan-04 00:00, 2378499.500000000, , ,199.75273,-17.77707, 202.1446590, -8.7352076,
 1800-Jan-05 00:00, 2378500.500000000, , ,199.76198,-17.79132, 202.1585019, -8.7450595,
 1800-Jan-06 00:00, 2378501.500000000, , ,199.77047,-17.80532, 202.1715865, -8.7549422,
 1800-Jan-07 00:00, 2378502.500000000, , ,199.77821,-17.81905, 202.1839107, -8.7648539,
 1800-Jan-08 00:00, 2378503.500000000, , ,199.78520,-17.83252, 202.1954713, -8.7747929,
 1800-Jan-09 00:00, 2378504.500000000, , ,199.79142,-17.84572, 202.2062634, -8.7847572,
 1800-Jan-10 00:00, 2378505.500000000, , ,199.79690,-17.85865, 202.2162806, -8.7947451,
 1800-Jan-11 00:00, 2378506.500000000, , ,199.80161,-17.87131, 202.2255152, -8.8047546,
 1800-Jan-12 00:00, 2378507.500000000, , ,199.80556,-17.88369, 202.2339595, -8.8147840,
 1800-Jan-13 00:00, 2378508.500000000, , ,199.80875,-17.89579, 202.2416064, -8.8248313,
 1800-Jan-14 00:00, 2378509.500000000, , ,199.81118,-17.90761, 202.2484511, -8.8348946,
 1800-Jan-15 00:00, 2378510.500000000, , ,199.81284,-17.91915, 202.2544917, -8.8449720,
 1800-Jan-16 00:00, 2378511.500000000, , ,199.81373,-17.93040, 202.2597298, -8.8550613,
 1800-Jan-17 00:00, 2378512.500000000, , ,199.81386,-17.94136, 202.2641699, -8.8651606,
 1800-Jan-18 00:00, 2378513.500000000, , ,199.81322,-17.95204, 202.2678183, -8.8752676,
 1800-Jan-19 00:00, 2378514.500000000, , ,199.81181,-17.96242, 202.2706809, -8.8853801,
 1800-Jan-20 00:00, 2378515.500000000, , ,199.80964,-17.97250, 202.2727616, -8.8954959,
 1800-Jan-21 00:00, 2378516.500000000, , ,199.80669,-17.98228, 202.2740603, -8.9056125,
 1800-Jan-22 00:00, 2378517.500000000, , ,199.80297,-17.99176, 202.2745723, -8.9157276,
 1800-Jan-23 00:00, 2378518.500000000, , ,199.79849,-18.00094, 202.2742894, -8.9258388,
 1800-Jan-24 00:00, 2378519.500000000, , ,199.79323,-18.00981, 202.2732019, -8.9359434,
 1800-Jan-25 00:00, 2378520.500000000, , ,199.78721,-18.01837, 202.2713020, -8.9460392,
 1800-Jan-26 00:00, 2378521.500000000, , ,199.78043,-18.02662, 202.2685857, -8.9561235,
 1800-Jan-27 00:00, 2378522.500000000, , ,199.77288,-18.03456, 202.2650542, -8.9661940,
 1800-Jan-28 00:00, 2378523.500000000, , ,199.76458,-18.04219, 202.2607130, -8.9762484,
 1800-Jan-29 00:00, 2378524.500000000, , ,199.75553,-18.04950, 202.2555705, -8.9862841,
 1800-Jan-30 00:00, 2378525.500000000, , ,199.74572,-18.05650, 202.2496359, -8.9962990,
 1800-Jan-31 00:00, 2378526.500000000, , ,199.73517,-18.06318, 202.2429185, -9.0062907,
 1800-Feb-01 00:00, 2378527.500000000, , ,199.72388,-18.06954, 202.2354261, -9.0162570,
 1800-Feb-02 00:00, 2378528.500000000, , ,199.71185,-18.07559, 202.2271657, -9.0261955,
 1800-Feb-03 00:00, 2378529.500000000, , ,199.69909,-18.08132, 202.2181429, -9.0361041,
