*******************************************************************************
JPL/HORIZONS                    (2007 RH283)               2015-Jul-07 15:48:52
Rec #:558761 (+COV)   Soln.date: 2015-Jun-04_14:10:01     # obs: 49 (1983-2011)
 
FK5/J2000.0 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs): 
 
  EPOCH=  2452915.5 ! 2003-Oct-03.00 (CT)          Residual RMS= .35448        
   EC= .3395187830581879   QR= 10.49160587590879   TP= 2448670.2803120501      
   OM= 286.5823097201427   W=  328.9531413571981   IN= 21.3652503884088        
   A= 15.88479067502853    MA= 66.08942894091842   ADIST= 21.27797547414826    
   PER= 63.31119           N= .015567964           ANGMOM= .064487691          
   DAN= 10.88691           DDN= 19.81855           L= 257.307122               
   B= -10.8296637          MOID= 9.495209689999999 TP= 1992-Feb-17.7803120501  
 
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 8.5                  G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
 
ASTEROID comments: 
1: soln ref.= JPL#3, OCC=1
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Tue Jul  7 15:48:52 2015 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2007 RH283)                    {source: JPL#3}
Center body name: Earth (399)                     {source: DE-0431LE-0431}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2000-Jan-01 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE-0431LE-0431}
Rel. light bend : Sun, EARTH                      {source: DE-0431LE-0431}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Small-body perts: Yes                             {source: SB431-BIG16}
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.150707.p150928                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2015-JUL-07. PREDICTS-> 2015-SEP-27
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial FK5/J2000.0 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2452915.5 ! 2003-Oct-03.00 (CT)          Residual RMS= .35448        
   EC= .3395187830581879   QR= 10.49160587590879   TP= 2448670.2803120501      
   OM= 286.5823097201427   W=  328.9531413571981   IN= 21.3652503884088        
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 8.5                  G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
***********************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),    ObsEcLon,   ObsEcLat,
***********************************************************************************************************
$$SOE
 1900-Jan-01 00:00, 2415020.500000000, , , 79.95337, 32.84846,  80.0631332,  9.6941974,
 1900-Jan-02 00:00, 2415021.500000000, , , 79.90773, 32.83984,  80.0237651,  9.6883169,
 1900-Jan-03 00:00, 2415022.500000000, , , 79.86253, 32.83109,  79.9847347,  9.6822958,
 1900-Jan-04 00:00, 2415023.500000000, , , 79.81777, 32.82221,  79.9460537,  9.6761357,
 1900-Jan-05 00:00, 2415024.500000000, , , 79.77349, 32.81321,  79.9077384,  9.6698381,
 1900-Jan-06 00:00, 2415025.500000000, , , 79.72969, 32.80409,  79.8698095,  9.6634049,
 1900-Jan-07 00:00, 2415026.500000000, , , 79.68640, 32.79486,  79.8322904,  9.6568377,
 1900-Jan-08 00:00, 2415027.500000000, , , 79.64363, 32.78552,  79.7952047,  9.6501386,
 1900-Jan-09 00:00, 2415028.500000000, , , 79.60141, 32.77607,  79.7585736,  9.6433096,
 1900-Jan-10 00:00, 2415029.500000000, , , 79.55974, 32.76652,  79.7224147,  9.6363527,
 1900-Jan-11 00:00, 2415030.500000000, , , 79.51864, 32.75686,  79.6867421,  9.6292700,
 1900-Jan-12 00:00, 2415031.500000000, , , 79.47814, 32.74711,  79.6515666,  9.6220635,
 1900-Jan-13 00:00, 2415032.500000000, , , 79.43823, 32.73726,  79.6168970,  9.6147353,
 1900-Jan-14 00:00, 2415033.500000000, , , 79.39895, 32.72732,  79.5827410,  9.6072876,
 1900-Jan-15 00:00, 2415034.500000000, , , 79.36030, 32.71729,  79.5491065,  9.5997224,
 1900-Jan-16 00:00, 2415035.500000000, , , 79.32230, 32.70719,  79.5160024,  9.5920419,
 1900-Jan-17 00:00, 2415036.500000000, , , 79.28496, 32.69700,  79.4834389,  9.5842480,
 1900-Jan-18 00:00, 2415037.500000000, , , 79.24830, 32.68673,  79.4514280,  9.5763431,
 1900-Jan-19 00:00, 2415038.500000000, , , 79.21233, 32.67639,  79.4199833,  9.5683291,
 1900-Jan-20 00:00, 2415039.500000000, , , 79.17707, 32.66598,  79.3891195,  9.5602082,
 1900-Jan-21 00:00, 2415040.500000000, , , 79.14252, 32.65550,  79.3588524,  9.5519825,
 1900-Jan-22 00:00, 2415041.500000000, , , 79.10870, 32.64497,  79.3291978,  9.5436542,
 1900-Jan-23 00:00, 2415042.500000000, , , 79.07563, 32.63437,  79.3001715,  9.5352256,
 1900-Jan-24 00:00, 2415043.500000000, , , 79.04332, 32.62371,  79.2717891,  9.5266987,
 1900-Jan-25 00:00, 2415044.500000000, , , 79.01178, 32.61301,  79.2440650,  9.5180758,
 1900-Jan-26 00:00, 2415045.500000000, , , 78.98102, 32.60225,  79.2170121,  9.5093591,
 1900-Jan-27 00:00, 2415046.500000000, , , 78.95107, 32.59145,  79.1906410,  9.5005510,
 1900-Jan-28 00:00, 2415047.500000000, , , 78.92192, 32.58061,  79.1649591,  9.4916538,
 1900-Jan-29 00:00, 2415048.500000000, , , 78.89359, 32.56973,  79.1399711,  9.4826697,
 1900-Jan-30 00:00, 2415049.500000000, , , 78.86610, 32.55881,  79.1156791,  9.4736013,
 1900-Jan-31 00:00, 2415050.500000000, , , 78.83945, 32.54787,  79.0920858,  9.4644510,
 1900-Feb-01 00:00, 2415051.500000000, , , 78.81366, 32.53690,  79.0691971,  9.4552214,
 1900-Feb-02 00:00, 2415052.500000000, , , 78.78874, 32.52590,  79.0470242,  9.4459152,
